t_s,current_A,voltage_V,cell_heat_W,soc,cell_temperature_K,coolant_inlet_K,coolant_outlet_K,module_heat_removed_W
4984116.480144197,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984200.0,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984201.800001127,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984203.600002253,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984207.200004506,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984214.400009013,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984228.800018025,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984257.600036049,0.0,4.042080001281292,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984315.2000720985,0.0,4.042080001281292,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984430.400144197,0.0,4.042080001281292,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984560.0,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984561.440001126,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984562.880002253,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984565.760004506,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984571.520009012,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984583.040018025,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984606.08003605,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984652.1600720985,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984744.320144198,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984920.0,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984921.080001127,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984922.160002253,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984924.320004506,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984928.640009012,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984937.280018025,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
4984954.560036049,0.0,4.042080001281294,0.0,0.8000000000000067,299.50291474090267,299.5029139999946,299.5029139999946,0.0
