t_s,current_A,voltage_V,cell_heat_W,soc,cell_temperature_K,coolant_inlet_K,coolant_outlet_K,module_heat_removed_W
4933444.3200015025,0.0,3.5968365934423345,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933448.640003004,0.0,3.5968365934423345,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933457.280006008,0.0,3.5968365934423345,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933474.560012016,0.0,3.5968365934423345,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933509.120024033,0.0,3.5968365934423345,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933578.240048066,0.0,3.5968365934423345,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933716.4800961325,0.0,3.5968365934423345,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933800.0,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933801.800000751,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933803.600001502,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933807.200003004,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933814.400006008,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933828.800012017,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933857.600024033,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4933915.200048066,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934030.400096132,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934160.0,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934161.440000751,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934162.880001502,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934165.760003004,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934171.520006008,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934183.040012017,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934206.080024033,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
